FaixaEtária	,Masculino,	Feminino,	Total(inclui_ignorados)
0-4,	2.7274	,2.3654,	2.559147571
5-9,	0.1666	,0.1367	,0.151987531
10-14,	0.2180	,0.1663,	0.192798426
15-19,	0.9382	,0.3476,	0.649504486
20-24,	1.5200	,0.5139,	1.027663034
25-29,	1.5228	,0.5919,	1.065987305
30-34,	1.8298	,0.8117,	1.326805479
35-39,	2.3743	,1.1419,	1.756144551
40-44,	3.2400	,1.7425	,2.484816799
45-49,	4.7021	,2.5675,	3.622634002
50-54,	7.3859	,3.8574,	5.575669263
55-59,	11.0618	,5.9144,	8.359761987
60-64,	16.8876	,9.2688,	12.81909981
65-69,	24.3308	,14.2131,	18.81940563
70-74,	36.1378	,21.8488,	28.10934574
75-79,	57.0137	,36.6800,	45.16413984
80-84,	87.5322	,61.4457	,71.59751539
85-89,	133.7650,	105.6481,	115.7916528
90+,	187.1217,	162.5870,	169.9192389
